base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,192.2,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,167.5,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,156.8,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,263.0,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,223.1,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,170.4,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,159.7,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,197.6,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,188.0,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,150.5,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,214.2,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,139.6,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,134.6,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,105.5,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,207.3,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,153.1,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,394.2,2026-04-29
2016,Manufacturing Sector,Woollen Textiles,2024,1st January,292.9,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,168.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,181.1,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,195.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,261.9,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,270.5,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,132.7,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,182.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,222.5,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,178.7,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,197.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,176.7,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,208.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,603.3,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,877.2,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,224.3,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,239.7,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,182.3,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,202.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,136.8,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,149.1,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,0.0,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,298.4,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,200.3,2026-04-29
2016,Manufacturing Sector,Silk Textiles,2024,1st January,170.3,2026-04-29
