year,quarter,all_india_house_price_index_in_units,bop_current_account_balance_crore,bop_current_account_credit_crore,bop_current_account_balance_usd_millions,bop_current_account_debit_crore,bop_current_account_debit_usd_millions,bop_direct_foreign_investment_abroad_net_crore,bop_direct_foreign_investment_abroad_net_usd_million,bop_direct_foreign_investment_india_net_inr_crore,bop_direct_foreign_investment_india_net_usd_million,bop_errors_and_omissions_net_inr_crore,bop_errors_and_omissions_net_usd_million,bop_foreign_direct_investment_india_abroad_net_inr_crore,bop_foreign_direct_investment_india_abroad_net_usd_million,bop_income_net_inr_crore,bop_merchandise_credit_inr_crore,bop_merchandise_debit_inr_crore,bop_merchandise_net_inr_crore,bop_monetary_movements_net_inr_crore,bop_monetary_movements_net_usd_million,bop_other_investment_loans_capital_debt_serivce_net_inr_crore,bop_other_investment_loans_capital_debt_serivce_net_usd_million,bop_portfolio_investment_abroad_net_inr_crore,bop_portfolio_investment_abroad_net_usd_million,bop_portfolio_investment_india_net_inr_crore,bop_portfolio_investment_india_net_usd_million,bop_portfolio_investment_net_crore,bop_portfolio_investment_net_usd_million,bop_gov_services_not_included_elsewhere_net_crore,bop_gov_services_not_included_elsewhere_net_usd_million,bop_services_insurance_net_crore,bop_services_insurance_usd_million,bop_services_crore,bop_services_travel_net_crore,bop_services_travel_net_usd_million,bop_total_capital_account_net_crore,bop_total_capital_account_net_usd_million,bop_transfer_official_credit_crore,bop_transfer_official_credit_usd_million,bop_transfer_official_debit_crore,bop_transfer_official_debit_usd_million,bop_transfer_private_credit_crore,bop_transfer_private_credit_usd_million,bop_transfer_private_debit_crore,bop_transfer_private_debit_usd_million,bop_transfers_total_net_crore,gdp_market_prices_constant,gdp_market_prices_current,data_source,updated_on
2025,Q2,,-24875.890524942,2193104.9878698,256349.263050999,2217980.87839475,259256.974373109,-149328.946851228,-9029.09363387,239333.685433896,13844.524715969,-11543.2548881,-526.330212474,41196.708737148,4815.431082099,-219207.04711303,963923.536540394,1553344.30089849,-1175143.44700131,-77125.421145486,-4507.546374318,12985.937992035,1517.909836828,-14927.93874363,-872.453921943,42445.509525502,2480.700911919,27517.570781872,1608.246989976,-1612.47341549,-188.4799743,5341.407128712,311.162287162,819761.705080798,-55266.376597244,-3230.008364981,133819.751248452,7941.587908903,172.3803844,20.149324702,3171.141397771,370.670699691,291114.481467251,34028.002854569,24053.469917272,2811.579619406,529437.713818672,4788623.36140725,8605364.53388083,https://data.rbi.org.in/#/dbie/indicators,2026-04-29
2025,Q3,,-123402.067638169,2325750.90095788,266352.490952153,2449152.96859605,280484.893562654,-156120.101006116,-9438.463555062,197675.375019906,11321.653520411,16571.333671082,1079.918377149,16443.738682255,1883.189965349,-212946.416652718,951797.157000889,1729776.31215927,-1541520.80520889,190651.611001536,10917.018558046,52384.180396902,5999.205215596,-4864.515544074,-278.550001186,-95498.176223506,-5468.379504452,-100362.69176758,-5746.929505638,-1326.193884268,-151.879999021,4168.837101581,237.753558963,888545.119219595,-46186.581643422,-2644.718113239,23670.539345705,2135.465675306,304.315121067,34.851148718,3277.468968495,375.346312203,340593.131369178,39005.823411274,20762.338901412,2377.769984785,635028.618623695,4863340.16630358,8525069.51614354,https://data.rbi.org.in/#/dbie/indicators,2026-04-29
2025,Q4,,-117607.112404925,2449348.24549427,274864.568555786,2566955.35789919,288062.376695048,-67168.9442693,-7537.663507381,34562.222503031,3878.554384457,-10748.610933098,-1206.203451116,-32606.721766269,-3659.109122924,-108699.658135112,995320.730311081,1829662.54726488,-834341.816953803,217508.535054545,24408.693110483,-54966.554559595,-6168.317768538,-825.347250363,-92.620033226,-754.188140295,-84.634595417,-1579.535390659,-177.254628643,-1511.858922583,-169.660011081,494.577156778,55.501187741,512402.774981006,7770.704155868,872.02432284,-89152.811716522,-10004.681520105,932.360969882,104.629056402,3061.008679134,343.504779887,337234.65887161,37844.29559305,22074.423459374,2477.180160657,313031.587702983,,,https://data.rbi.org.in/#/dbie/indicators,2026-04-29
